max_edge_age,n_iter_before_neuron_added,max_nodes,quantization_error,topographical_error,quantization_error_std,topographical_error_std
25,25,25,2.99062230199711,0.137082601054482,0.011461349254447,0.010044773403329
25,25,50,2.70717040100853,0.074985354422964,0.007389879769946,0.009554485313591
25,25,75,2.51119381779717,0.062683069712947,0.004469885232013,0.012204256974809
25,25,100,2.309837084265,0.031634446397188,0.007058624068804,0.002869935258094
25,50,25,3.00141250483812,0.147627416520211,0.007856474666275,0.011389702457659
25,50,50,2.71802856998806,0.063268892794376,0.019293856615139,0.013688718741122
25,50,75,2.49863647257863,0.052724077328647,0.007855777730466,0.001434967629047
25,50,100,2.32001773165872,0.035149384885765,0.006683055457774,0.010044773403329
25,75,25,2.98472154120931,0.15817223198594,0.018724783764408,0.007989561626822
25,75,50,2.71088578825506,0.06912712360867,0.0142694692847,0.012371828987664
25,75,75,2.49463867420391,0.057410661980082,0.012263586985297,0.017119670997308
25,75,100,2.31391157130529,0.044522554188635,0.010358548308554,0.006470627426589
25,100,25,2.97009518038205,0.152314001171646,0.02209397332242,0.022974424781638
25,100,50,2.71982792804598,0.061511423550088,0.008326947873666,0.013688718741122
25,100,75,2.50103561560652,0.057410661980082,0.007604564475721,0.013788637722249
25,100,100,2.32317391134615,0.03925014645577,0.00709500617761,0.000828478946909
50,25,25,3.07801394463515,0.12829525483304,0.019546411630445,0.00517384936516
50,25,50,2.75309928972053,0.050966608084359,0.001990268507885,0.010833768019278
50,25,75,2.55624900126705,0.037492677211482,0.002262518630331,0.004383898519946
50,25,100,2.40577460915384,0.023432923257176,0.002532818926965,0.008159571339885
50,50,25,3.03326352534993,0.135325131810193,0.041651609518075,0.00517384936516
50,50,50,2.7526366397709,0.058582308142941,0.019716492498462,0.008159571339885
50,50,75,2.55853258728298,0.033977738722906,0.01243054157896,0.005974246647443
50,50,100,2.38571622319232,0.022261277094318,0.009112879601651,0.007363681950777
50,75,25,3.06508980611527,0.132396016403046,0.007239636930039,0.004142394734543
50,75,50,2.77600638519833,0.051552431165788,0.02925442101002,0.008767797039892
50,75,75,2.55543672139304,0.032220269478618,0.009668033242618,0.003313915787635
50,75,100,2.39628667314085,0.018160515524312,0.005279561054551,0.000828478946909
50,100,25,3.06969719052117,0.143526654950205,0.030484605843922,0.007903185450048
50,100,50,2.74965741591591,0.050966608084359,0.001259896296936,0.003796567485886
50,100,75,2.56061863718989,0.035149384885765,0.007975672473447,0.004304902887141
50,100,100,2.39260382453572,0.024018746338606,0.009431864763882,0.002191949259973
75,25,25,3.09716175689995,0.123022847100176,0.026409278538657,0.003796567485886
75,25,50,2.78030894691019,0.042765084944347,0.014712146332432,0.002987123323722
75,25,75,2.58908388470024,0.031048623315759,0.020456766672318,0.000828478946909
75,25,100,2.42423323742757,0.017574692442882,0.007090614403164,0.002485436840726
75,50,25,3.10062772363492,0.141183362624487,0.094376633212889,0.015343644819811
75,50,50,2.77189006621253,0.042179261862917,0.007848454872789,0.004304902887141
75,50,75,2.60247302854538,0.026362038664323,0.013615839943973,0
75,50,100,2.43182807641061,0.017574692442882,0.007104923514856,0.002869935258094
75,75,25,3.04894555320356,0.127123608670182,0.020837219816792,0.004142394734543
75,75,50,2.77070841470116,0.04920913884007,0.019744800631931,0.001434967629047
75,75,75,2.60296104535012,0.035149384885765,0.007747317853762,0.008728567326158
75,75,100,2.42917746248876,0.018160515524312,0.011539320573489,0.000828478946909
75,100,25,3.08726477258392,0.131224370240187,0.037587904938259,0.012861451903984
75,100,50,2.78103944366438,0.0398359695372,0.009251962502678,0.007363681950777
75,100,75,2.61345174658383,0.026947861745753,0.025897867722148,0.004383898519946
75,100,100,2.44752084529369,0.016403046280024,0.008075172534226,0.003313915787635
100,25,25,3.09778766719959,0.121265377855888,0.035933411459928,0.008961369971165
100,25,50,2.79859346045077,0.0398359695372,0.003083302664175,0.001656957893817
100,25,75,2.62772162331717,0.028705330990041,0.012292447313922,0.002191949259973
100,25,100,2.46677777140503,0.018160515524312,0.01223677665073,0.002987123323722
100,50,25,3.11326227445879,0.12888107791447,0.005084261097167,0.002987123323722
100,50,50,2.80735891685098,0.040421792618629,0.013237681292617,0.002485436840726
100,50,75,2.65029192757628,0.028705330990041,0.021772657751812,0.002191949259973
100,50,100,2.46502935829204,0.013473930872876,0.016527383628716,0.003611256006426
100,75,25,3.16486235554741,0.127709431751611,0.01208007903887,0.006470627426589
100,75,50,2.81976266651382,0.045694200351494,0.009815791589398,0.004304902887141
100,75,75,2.64269763007299,0.031634446397188,0.021083706146997,0.003796567485886
100,75,100,2.46984689649013,0.016403046280024,0.007868596815752,0.000828478946909
100,100,25,3.13574027294049,0.129466900995899,0.030369476940413,0.01038081145089
100,100,50,2.80258223384836,0.037492677211482,0.005555139716333,0.002987123323722
100,100,75,2.64828047281791,0.024604569420035,0.00553954184178,0.001434967629047
100,100,100,2.47014621923722,0.018160515524312,0.009579529796291,0.002191949259973
