max_edge_age,n_iter_before_neuron_added,max_nodes,quantization_error,topographical_error,quantization_error_std,topographical_error_std
25,25,25,0.4029707123996533,0.0026666666666666666,0.024610840137789212,0.0037712361663282535
25,25,50,0.12903211306331544,0.0,0.0018207879329133236,0.0
25,25,75,0.07225231365281769,0.0,0.0030604583068146495,0.0
25,25,100,0.043456171876973294,0.0,0.0014236689155326446,0.0
25,50,25,0.3885463061363486,0.0,0.0043225037221013805,0.0
25,50,50,0.12974776700406274,0.0,0.005216775071682422,0.0
25,50,75,0.07069301335440553,0.0,0.0007055619359454993,0.0
25,50,100,0.04331834673132137,0.0,0.0008419046989035975,0.0
25,75,25,0.3946678073951501,0.0,0.012593695178625255,0.0
25,75,50,0.12894226719427443,0.0,0.0032898524641821144,0.0
25,75,75,0.07232474470612078,0.0,0.0005754853751260689,0.0
25,75,100,0.04299421761492509,0.0,0.000587627754272552,0.0
25,100,25,0.3972455930485557,0.0,0.0013717207775618382,0.0
25,100,50,0.1253522555123704,0.0,0.003231020836931837,0.0
25,100,75,0.07117438503379186,0.0,0.0021941204325666122,0.0
25,100,100,0.04330399973970387,0.0,0.0009960150922676296,0.0
50,25,25,0.4098810351914626,0.0,0.017570448620786827,0.0
50,25,50,0.12797519755490247,0.0,0.006611300424005651,0.0
50,25,75,0.07392271092641035,0.0,0.000604041332906216,0.0
50,25,100,0.047676057522175665,0.0,0.0003147921895838321,0.0
50,50,25,0.4054609725850859,0.0,0.010257611777274394,0.0
50,50,50,0.14121295889158827,0.0,0.003742695786568785,0.0
50,50,75,0.07665811331257927,0.0,0.0042538479963800686,0.0
50,50,100,0.04798124794523545,0.0,0.0005483152480123044,0.0
50,75,25,0.41382130710685366,0.0,0.03397288538997193,0.0
50,75,50,0.1385483861516664,0.0,0.005266404270553895,0.0
50,75,75,0.07619490811889121,0.0,0.001161287613324671,0.0
50,75,100,0.04584687478918553,0.0,0.0019345648548871237,0.0
50,100,25,0.4296723526307816,0.0,0.00996073913099243,0.0
50,100,50,0.13187214554338586,0.0,0.005424126135319147,0.0
50,100,75,0.07766247477133949,0.0,0.0009392687854819207,0.0
50,100,100,0.045209856943849845,0.0,0.0024275424397229906,0.0
75,25,25,0.4287487084337204,0.0,0.020077889749658465,0.0
75,25,50,0.13631506833589424,0.0,0.0039160699979868445,0.0
75,25,75,0.07846779549082049,0.0,0.0050466926821424295,0.0
75,25,100,0.05406884779563905,0.0,0.0011960456563763903,0.0
75,50,25,0.44492518041774254,0.0,0.017167980678963708,0.0
75,50,50,0.1399964655509162,0.0,0.01035890145848137,0.0
75,50,75,0.08059941735369414,0.0,0.002044128320222066,0.0
75,50,100,0.0533532784014276,0.0,0.0017573989980801926,0.0
75,75,25,0.42065700738758666,0.0,0.012961678725683363,0.0
75,75,50,0.13904498338185378,0.0,0.0029463354901136996,0.0
75,75,75,0.08376242058092465,0.0,0.003145390315366741,0.0
75,75,100,0.05109341523907988,0.0,0.0009375179610464743,0.0
75,100,25,0.42354769345893933,0.0,0.008619669137131887,0.0
75,100,50,0.1471968026239544,0.0,0.002892723631866219,0.0
75,100,75,0.08006677234434,0.0,0.0025464526620746675,0.0
75,100,100,0.050232952202907744,0.0,0.001165763600529159,0.0
100,25,25,0.4282797516257329,0.0,0.02208888066991357,0.0
100,25,50,0.1494325656715624,0.0,0.0011739088290331125,0.0
100,25,75,0.08226721658500234,0.0,0.0054661090859457655,0.0
100,25,100,0.05907290705071658,0.0,0.0011353222685265096,0.0
100,50,25,0.42168765627604315,0.0,0.01272962116420392,0.0
100,50,50,0.14789972498848614,0.0,0.0021122166867989125,0.0
100,50,75,0.08174746930346534,0.0,0.001729863346319121,0.0
100,50,100,0.05702439028288869,0.0,0.0018387994317569886,0.0
100,75,25,0.428952873713075,0.0,0.014429120024329662,0.0
100,75,50,0.1537833145583989,0.0,0.003185175934491978,0.0
100,75,75,0.08610486002978412,0.0,0.0032245797027705874,0.0
100,75,100,0.057709379594143795,0.0,0.001762144251704059,0.0
100,100,25,0.4063216105158281,0.0,0.006417816495116401,0.0
100,100,50,0.15523156187638662,0.0,0.0025879745971391977,0.0
100,100,75,0.09171176310659925,0.0,0.002420272960055018,0.0
100,100,100,0.05837630016490137,0.0,0.0007333433827694177,0.0
