max_edge_age,n_iter_before_neuron_added,max_nodes,quantization_error,topographical_error,quantization_error_std,topographical_error_std
25,25,100,0.137523831097609,0,0.000765702251762,0
25,50,100,0.137956779134104,0,0.001129105494629,0
25,100,100,0.138088238427954,0,0.003354334455496,0
50,25,100,0.138469704492643,0,0.001786175105728,0
25,75,100,0.140045152695052,0,0.001875654016692,0
50,50,100,0.142528609040193,0,0.001685826354726,0
75,25,100,0.14457163104069,0,0.004006072086777,0
50,100,100,0.145341364354541,0.002222222222222,0.001649043421046,0.003142696805274
75,75,100,0.145503125431699,0.002222222222222,0.001719208806781,0.003142696805274
50,75,100,0.14560024975399,0,0.000676973887189,0
