alpha,Camadas,Decaimento,lr,momentum,Acc Validação,Acc Treino
0.0001,100,constant,0.005,1,1,1
0.0001,50,constant,0.01,1,1,1
0.0001,"(100, 75)",constant,0.005,1,1,1
0.0001,"(100, 75)",adaptive,0.005,1,1,1
0.0001,"(100, 50)",adaptive,0.005,1,1,1
0.0001,"(75, 100)",constant,0.01,1,1,1
0.0001,"(75, 75)",constant,0.005,1,1,1
0.0001,"(75, 50)",adaptive,0.005,1,1,1
0.0001,"(75, 50)",adaptive,0.01,1,1,1
0.0001,"(50, 75)",constant,0.01,1,1,1
