grid_size,lr,sigma,tau,tau_2,quantization_error,topographical_error,quantization_error_std,topographical_error_std
"[10, 10]",0.5,1,20,20,0.1329903098645006,0.18888888888888888,0.0019273412563355168,0.021998877636914813
"[10, 10]",0.5,1,20,40,0.11824489977315507,0.21333333333333335,0.005968712344469453,0.03265986323710905
"[10, 10]",0.5,1,40,10,0.20100389139578187,0.07777777777777778,0.0029970626342843854,0.019116278371205837
"[10, 10]",0.5,1,40,20,0.1446013059054734,0.14222222222222222,0.0033956006568073922,0.03823255674241168
"[10, 10]",0.5,1,40,40,0.11479058207725835,0.19111111111111112,0.0032654055561480567,0.03861810488218392
"[10, 10]",0.5,5,10,10,0.2015499045459267,0.05111111111111111,0.0020427970990556685,0.006285393610547087
"[10, 10]",0.5,5,10,20,0.1351718391730777,0.0911111111111111,0.005383147984112554,0.04085505846855608
"[10, 10]",0.5,5,10,40,0.11641017391504138,0.18888888888888888,0.005459436721659996,0.021998877636914816
"[10, 10]",0.5,5,20,10,0.30370316038270356,0.02,0.0033477700187388377,0.014401645996461912
"[10, 10]",0.5,5,20,20,0.17041837409351943,0.06888888888888889,0.005221210681142686,0.02266230894930127
"[10, 10]",0.5,5,20,40,0.1295315040776539,0.11333333333333334,0.0029798291176991168,0.01632993161855452
"[10, 10]",0.5,5,40,10,0.4405684225295907,0.0022222222222222222,0.005092617932401638,0.003142696805273545
"[10, 10]",0.5,5,40,20,0.27513684934268623,0.011111111111111112,0.003719072272945908,0.003142696805273545
"[10, 10]",0.5,5,40,40,0.1972202183904157,0.02666666666666667,0.0024406989514087303,0.009428090415820633
"[10, 10]",0.5,10,10,10,0.24215639160071337,0.031111111111111107,0.0033600908218582516,0.003142696805273543
"[10, 10]",0.5,10,10,20,0.15164420229778797,0.06444444444444446,0.0020746668838084394,0.013698697784375503
"[10, 10]",0.5,10,10,40,0.12873643614421101,0.16,0.0030062194225247136,0.03810317377662721
"[10, 10]",0.5,10,20,10,0.39383706960914405,0.008888888888888889,0.008997856987228069,0.003142696805273545
"[10, 10]",0.5,10,20,20,0.20968025926757664,0.05777777777777778,0.0018558228817780274,0.019116278371205837
"[10, 10]",0.5,10,20,40,0.13947567015119813,0.11111111111111112,0.0029780078072928246,0.017497795275581804
"[10, 10]",0.5,10,40,10,0.6133540079088179,0.0,0.005304703766606561,0.0
"[10, 10]",0.5,10,40,20,0.38506099921949327,0.0044444444444444444,0.003025304771454601,0.003142696805273545
"[10, 10]",0.5,10,40,40,0.29884489344292625,0.011111111111111112,0.0031286612619362735,0.003142696805273545
